endnote,services.myendnoteweb.com,/enwservices/api/v1/rest,"/api/endnote/v1",null,true,acl||cors||custom-key-headers||oauth2,null
cddi-storage,clarivate.com,/,"/apiv2/cddi/storage",null,true,eureka-router||jwt,cddistorage.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-landing-app-eu,clarivate.com,/,"/cortellis/landing/ri","api.eu-west-1.prod1.prod.oneplatform.build",true,eureka-router,cortellislandingapp.cortellis.prodeu.{CLOUD_ENVIRONMENT}
cortellis-alert-app-us,clarivate.com,/,"/cortellis/alert/.*","api.us-west-2.prod1.prod.oneplatform.build",false,eureka-router||url-replace,cortellisalertapp.cortellis.produs.{CLOUD_ENVIRONMENT}
dra-td-gui,clarivate.com,/,"/dra"||"/dra-td",null,true,eureka-router||request-transformer,dratdgui.dra.produs.{CLOUD_ENVIRONMENT}
entitlements,clarivate.com,/entitlements/,"/api/entitlements",null,true,acl||eureka-router||key-auth,1pentitlements.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wos-nx-shared,clarivate.com,/shared,"/api/wosnx/shared",null,true,eureka-router,wosnxshared.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
platform-email-api,clarivate.com,/email/platform/,"/api/email/platform",null,true,acl||eureka-router||key-auth||rate-limiting,1pauth.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
dra-type-ahead,clarivate.com,/,"/api/dra/suggest",null,false,auth-extensions||eureka-router||jwt||url-replace,dratypeahead.dra.produs.{CLOUD_ENVIRONMENT}
cortellis-alert-api-eu,clarivate.com,/,"/api/cortellis/alert","api.eu-west-1.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisalertapi.cortellis.prodeu.{CLOUD_ENVIRONMENT}
singularity-pdftoxml-scholarlyitem-master,pdf2xml-common.prod.singularity.clarivate.com,/,"/pdf2xml/scholarlyitemmaster-api",null,false,jwt,null
default-auth,auth-wicked.prod1.prod.oneplatform.build,/,"/auth",null,false,correlation-id,null
cortellis-svgextractor-api,clarivate.com,/,"/internal/svg-extractor",null,true,eureka-router,cortellissvgextractorcomponent.cortellis.{CLOUD_ENVIRONMENT}
singularity-stats-powerbi-prod,stats-powerbi-lambda.prod.singularity.clarivate.com,/,"/sing/stats-powerbi",null,true,jwt,null
email-engine,clarivate.com,/,"/internal/emailengine",null,true,eureka-router,1pemailengine.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-ontology-api-us,clarivate.com,/,"/api/browseOntologyData"||"/api/cortellis/ontology"||"/api/testgetontology","api.us-west-2.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisontologyapi.cortellis.produs.{CLOUD_ENVIRONMENT}
cortellis-alert-app-eu,clarivate.com,/,"/cortellis/alert/.*","api.eu-west-1.prod1.prod.oneplatform.build",false,eureka-router||url-replace,cortellisalertapp.cortellis.prodeu.{CLOUD_ENVIRONMENT}
wos,clarivate.com,/wos/,"/api/wos",null,true,acl||cors||custom-key-headers||eureka-router||key-auth,wosrestadapter.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
matcher,clarivate.com,/matcher/,"/api/matcher",null,true,acl||eureka-router||key-auth,1pmanumatcher.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-report-section-app,clarivate.com,/,"/intelligence/cortellis-report-section",null,true,eureka-router,cortellissvgextractorcomponent.cortellis.{CLOUD_ENVIRONMENT}
incites-jcr-be-bwjournal,clarivate.com,/,"/api/jcr3/bwjournal/.*",null,false,cors||eureka-router||session-validation,incitesjcr3bebwjournal.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
dra-marketing-gui,clarivate.com,/,"/marketing/dratd"||"/ui/dratd/marketing",null,false,eureka-router||request-transformer,dratdmarketingui.dra.produs.{CLOUD_ENVIRONMENT}
fcr-extract,clarivate.com,/fcr/extract,"/api/fcr/extract",null,true,acl||eureka-router||key-auth||rate-limiting,fcrextraction.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
singularity-translations-prod-api,translation-common.prod.singularity.clarivate.com,/,"/sing/sing-trans",null,true,jwt,null
rics-roles,roles-api-int.prod.cc.clarivate.com,/,"/api","roles-api.prod.cc.clarivate.com",false,cors||jwt,null
sp-master-service,clarivate.com,/,"/api/spmaster",null,false,eureka-router||url-replace,spmasterservices.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
tisearchdsl,clarivate.com,/,"/internal/tisearchdsl/v1",null,true,cors||eureka-router,tisearchdsl.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-export-app-us,clarivate.com,/,"/cortellis/export/.*","api.us-west-2.prod1.prod.oneplatform.build",false,eureka-router||url-replace,cortellisexportapp.cortellis.produs.{CLOUD_ENVIRONMENT}
alert-manager,clarivate.com,/,"/internal/alertmanager",null,true,correlation-id||eureka-router,1palertmanager.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
stress-test,clarivate.com,/stress,"/stress-test",null,true,acl||eureka-router||key-auth,1pexampleservice.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-search-api-us,clarivate.com,/,"/api/cortellis/search/.*"||"/api/fetchLandingPageConfig"||"/api/headerConfig"||"/api/landing"||"/api/landingPageChart"||"/api/landingPageSearchFilters"||"/api/searchdata"||"/api/testget/.*","api.us-west-2.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellissearchapi.cortellis.produs.{CLOUD_ENVIRONMENT}
match,clarivate.com,/match/,"/api/match",null,true,acl||eureka-router||key-auth||rate-limiting,matchingservice.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-frontend-us,clarivate.com,/,"/intelligence/suite","api.us-west-2.prod1.prod.oneplatform.build",true,eureka-router,cortellisfrontend.cortellis.produs.{CLOUD_ENVIRONMENT}
igr-entity-api,clarivate.com,/,"/apiv2/igr/entity",null,false,eureka-router||jwt||url-replace,igrentity.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
sushi-api,clarivate.com,/counter/r5,"/api/counter/r5",null,true,acl||custom-key-headers||eureka-router||key-auth||request-transformer,woswurssushiservicecounterr5.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
platform-profile-client,clarivate.com,/,"/api/profile/field/summary"||"/api/profile/user",null,false,eureka-router||jwt||url-replace,1pprofiles.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-retrieve-api-us,clarivate.com,/,"/api/browseRetrieveData"||"/api/cortellis/retrieve"||"/api/retrievegrcdata"||"/api/retrieveirdata"||"/api/retrieversdata"||"/api/retrievetestget/.*","api.us-west-2.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisretrieveapi.cortellis.produs.{CLOUD_ENVIRONMENT}
cortellis-svgextractor-api-eu,clarivate.com,/,"/internal/svg-extractor","api.eu-west-1.prod1.prod.oneplatform.build",true,eureka-router,cortellissvgextractorcomponent.cortellis.{CLOUD_ENVIRONMENT}
ccorgresolutionservice,clarivate.com,/address,"/api/ccorgresolutionservice/v1/address",null,true,acl||eureka-router||key-auth,ccorgresolutionservice.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cgi-type-ahead,clarivate.com,/,"/api/generics/suggest",null,false,eureka-router||jwt||url-replace,nptypeahead.newport.produs.{CLOUD_ENVIRONMENT}
citation-score,clarivate.com,/citationscore,"/api/citationscore",null,true,acl||eureka-router||key-auth,citationconfidence.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-external-api-us,clarivate.com,/,"/cortellisexternal","api.us-west-2.prod1.prod.oneplatform.build",false,eureka-router,cortellisexternalapi.cortellis.{CLOUD_ENVIRONMENT}
wos-nx-core-ws,clarivate.com,/,"/api/wosnxcorews",null,true,eureka-router,wosnxcore.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
journal-profile-api,clarivate.com,/,"/api/jprof/public",null,false,eureka-router||url-replace,journalprofile.scholarone.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
matcher-internal-api,clarivate.com,/,"/internal/api/matcher",null,false,acl||eureka-router||key-auth||url-replace,1pmanumatcher.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
kpa-frontend,clarivate.com,/,"/kpa",null,false,eureka-router||request-transformer,kpagui.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
rics-ui,rics-ui-int.prod.cc.clarivate.com,/,"/","rics.cc.clarivate.com"||"rics.prod.cc.clarivate.com",false,cors,null
dra-td-entity,clarivate.com,/,"/api/dra-td/healthcheck"||"/api/dra/analytics/aggregations"||"/api/dra/analytics/entity/decorator"||"/api/dra/analytics/graphic"||"/api/dra/analytics/related/entities",null,false,auth-extensions||eureka-router||jwt||url-replace,dratdentity.dra.produs.{CLOUD_ENVIRONMENT}
mockbin,mockbin.org,/,"/request",null,false,acl||custom-key-headers||key-auth||rate-limiting,null
cortellis-results-component-us,clarivate.com,/,"/cortellis/results/.*","api.us-west-2.prod1.prod.oneplatform.build",false,eureka-router||url-replace,cortellisresultsapp.cortellis.produs.{CLOUD_ENVIRONMENT}
iplab-api,clarivate.com,/,"/iplab",null,true,eureka-router,iplab.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
rics-roles-ui,roles-ui-int.prod.cc.clarivate.com,/,"/","roles.cc.clarivate.com"||"roles.prod.cc.clarivate.com",false,cors,null
cgi-frontend,clarivate.com,/,"/generics",null,false,eureka-router||request-transformer,npcfgui.newport.produs.{CLOUD_ENVIRONMENT}
eureka-test,httpbin.org,/demo/all/,"/eureka-test",null,true,acl||eureka-router||key-auth,1pexampleservice.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cmc-dynamo-lambda,127.0.0.1,/,"/internal/api/cmc/dynamo/.*",null,false,aws-lambda||url-replace,null
myorg,clarivate.com,/myorg/,"/api/myorg",null,true,acl||custom-key-headers||eureka-router||key-auth,iipedge.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cmc-alert-lambda,127.0.0.1,/,"/internal/api/cmc/alerts"||"/internal/api/cmc/alerts/testing/.*",null,false,aws-lambda||url-replace,null
portal-api,portal-wicked.prod1.prod.oneplatform.build,/,"/wicked/v1",null,true,acl||correlation-id||oauth2||rate-limiting,null
cgi-api,clarivate.com,/,"/api/generics/api",null,false,eureka-router||jwt||url-replace,npapi.newport.produs.{CLOUD_ENVIRONMENT}
cortellis-configuration-api-eu,clarivate.com,/,"/api/configEiddo"||"/api/configLandingPageTools"||"/api/configtestget"||"/api/cortellis/configuration"||"/api/featureConfig"||"/api/getUserDetails"||"/api/landingPageHeaderConfig"||"/api/riAdvancedSearch","api.eu-west-1.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisconfigurationapi.cortellis.prodeu.{CLOUD_ENVIRONMENT}
mws-bridge-api,clarivate.com,/,"/api/wosnx/rrc/bridge/mws/.*",null,false,eureka-router||url-replace,1pmwsbridge.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-user-details-api-us,clarivate.com,/,"/api/cortellis/userdetails","api.us-west-2.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisuserdetailsapi.cortellis.produs.{CLOUD_ENVIRONMENT}
dra-td-score,clarivate.com,/,"/api/dra-td/score",null,false,auth-extensions||eureka-router||jwt||url-replace,dratdscore.dra.produs.{CLOUD_ENVIRONMENT}
singularity-task-management-prod-api,task-mgmt-common.prod.singularity.clarivate.com,/,"/sing/sing-task-mgmt",null,true,jwt,null
platform-profile-client-key-auth,clarivate.com,/,"/api/profile/key/field/summary"||"/api/profile/key/user",null,false,acl||eureka-router||ip-restriction||key-auth||rate-limiting||url-replace,1pprofiles.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
compumark-documents,127.0.0.1,/,"/compumark-documents/api",null,false,acl||aws-lambda||cors||custom-key-headers||key-auth||response-transformer,null
patentability-search-service,clarivate.com,/,"/api/dsps",null,true,acl||correlation-id||cors||eureka-router||key-auth,patentabilitysearchservice.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
experiment,clarivate.com,/experiment/,"/api/experiment",null,true,acl||custom-key-headers||eureka-router||key-auth,1pexp.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cddi-config-api,clarivate.com,/,"/apiv2/cddi/config",null,false,eureka-router||jwt||url-replace,cddiconfig.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wos-nx-org-typeahead,clarivate.com,/,"/api/wosnx/suggestorg",null,true,eureka-router,wosnxtypeahead.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
oauth-api,clarivate.com,/,"/internal/api/authorize",null,false,eureka-router||url-replace,1pauth.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wosrl-api,publons.com,/,"/api/wosrl",null,false,acl||custom-key-headers||key-auth||rate-limiting||request-transformer,null
singularity-notification-api,notifications-common.prod.singularity.clarivate.com,/,"/sing/sing-notif",null,true,jwt,null
wos-nx-indic,clarivate.com,/indic,"/api/wosnx/indic",null,true,eureka-router,wosnxindic.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cc-authorship-service,clarivate.com,/,"/api/authorship",null,false,eureka-router||jwt||url-replace,ccauthorshipresolution.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
singularity-sourcemaster-prod-api,source-master-common.prod.singularity.clarivate.com,/,"/sing/source-master",null,true,jwt,null
rics-ontology,ri-ontology-int.prod.cc.clarivate.com,/,"/","ri-ontology.cc.clarivate.com"||"ri-ontology.prod.cc.clarivate.com",false,cors||jwt,null
swagger-ui-portal,developer.clarivate.com,/swagger-ui,"/swagger-ui",null,true,correlation-id,null
ca-profiles,clarivate.com,/collect/profile,"/internal/ca-profiles",null,true,cors||eureka-router,1pcommonanalytics.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
frontend-api,clarivate.com,/,"/internal",null,false,eureka-router||url-replace,1pfrontend.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
singularity-chemistry-master-api,chemcur-common.prod.singularity.clarivate.com,/,"/chemeditor"||"/dcrws"||"/wipdbws",null,false,jwt,null
wosrl,publons.com,/,"/wosrl",null,true,eureka-router,wosrl.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wos-nx-publication-typeahead,ac.prod-wos.com,/AC/autoComplete.do,"/api/wosnx/typeahead/publications",null,true,null,null
wos-recommendation-service,clarivate.com,/,"/api/wosnx/recommend",null,true,acl||correlation-id||cors||eureka-router||key-auth,wosrecommendationservice.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
sep-5g-service,clarivate.com,/,"/api/sep5g",null,true,acl||correlation-id||cors||eureka-router||key-auth,sep5gservice.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
rics-triage,triage-api-int.prod.cc.clarivate.com,/,"/api","triage-api.prod.cc.clarivate.com",false,cors||jwt,null
api-usage,clarivate.com,/customer/usage,"/internal/api-usage",null,true,eureka-router,apiusage.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wos-jcr-jif-api,clarivate.com,/,"/api/jcr/jif/.*",null,false,cors||eureka-router||url-replace,wosjcrjif.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
singularity-platform-prod-api,sing-platform-common.prod.singularity.clarivate.com,/,"/sing/sing-platform-common",null,true,jwt,null
rics,rics-api-int.prod.cc.clarivate.com,/,"/api","rics-api.prod.cc.clarivate.com",false,cors||jwt,null
mra-public-api,clarivate.com,/,"/api/mra/public/.*",null,false,eureka-router||url-replace,mraservice.scholarone.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wos-author-recommend-curation,clarivate.com,/,"/api/curation/author/.*",null,false,eureka-router||url-replace,wosauthorrecommend.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cddi-gui-api,clarivate.com,/,"/drugdiscovery",null,true,eureka-router,igrgui.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-alert-api-us,clarivate.com,/,"/api/cortellis/alert","api.us-west-2.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisalertapi.cortellis.produs.{CLOUD_ENVIRONMENT}
wos-author-xform-service-for-rrc,clarivate.com,/,"/api/wosnx/rrc/researcher",null,false,eureka-router||url-replace||wos-session-auth,wosauthorxform.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-export-app-eu,clarivate.com,/,"/cortellis/export/.*","api.eu-west-1.prod1.prod.oneplatform.build",false,eureka-router||url-replace,cortellisexportapp.cortellis.prodeu.{CLOUD_ENVIRONMENT}
echo,localhost,/,"/wicked-echo/v1",null,true,acl||correlation-id||oauth2||rate-limiting,null
central-submission-api,clarivate.com,/,"/api/censub/public",null,false,eureka-router||url-replace,centralsubmission.scholarone.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cgi-marketing-gui,clarivate.com,/,"/marketing/generics"||"/ui/generics/marketing",null,false,eureka-router||request-transformer,npmarketingui.newport.produs.{CLOUD_ENVIRONMENT}
rrcc-frontend,clarivate.com,/,"/rrcc",null,true,eureka-router,rrcfrontend.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
dra-td-gui-services,clarivate.com,/,"/api/dra/td/gui/services",null,false,auth-extensions||eureka-router||jwt||url-replace,dratdguiservices.dra.produs.{CLOUD_ENVIRONMENT}
cortellis-deals-landing-component-eu,clarivate.com,/,"/cortellis/landing/deals","api.eu-west-1.prod1.prod.oneplatform.build",true,eureka-router,cortellisdealslandingcomponent.cortellis.prodeu.{CLOUD_ENVIRONMENT}
reviewer-connect-profiles,publons.com,/partner,"/reviewer-connect/api/profile",null,false,acl||custom-key-headers||key-auth||rate-limiting||request-transformer,null
cddi-filters-api,clarivate.com,/,"/apiv2/cddi/filters",null,false,eureka-router||jwt||url-replace,cddifilters.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-external-api-eu,clarivate.com,/,"/cortellisexternal","api.eu-west-1.prod1.prod.oneplatform.build",false,eureka-router,cortellisexternalapi.cortellis.{CLOUD_ENVIRONMENT}
cortellis-results-component-eu,clarivate.com,/,"/cortellis/results/.*","api.eu-west-1.prod1.prod.oneplatform.build",false,eureka-router||url-replace,cortellisresultsapp.cortellis.prodeu.{CLOUD_ENVIRONMENT}
cddi-export-api,clarivate.com,/,"/apiv2/cddi/export",null,false,eureka-router||jwt||url-replace,cddiexport.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cddi-ontologies-api,clarivate.com,/,"/apiv2/cddi/ontologies",null,false,eureka-router||jwt||url-replace,cddiontologies.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
entitlements-key-auth,clarivate.com,/entitlements/,"/api/key/entitlements",null,true,acl||eureka-router||key-auth,1pentitlements.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
singularity-task-mgmt-wf-prod-api,task-mgmt-workflow-model-provider.prod.singularity.clarivate.com,/,"/sing/sing-task-mgmt-wf",null,true,jwt,null
singularity-deals-master-api,deals-master-common.prod.singularity.clarivate.com,/,"/v1/deals",null,false,jwt,null
cortellis-report-component-eu,clarivate.com,/,"/intelligence/site-report","api.eu-west-1.prod1.prod.oneplatform.build",true,eureka-router,cortellisreportcomponent.cortellis.prodeu.{CLOUD_ENVIRONMENT}
