endnote,services.myendnoteweb.com,/enwservices/api/v1/rest,"/api/endnote/v1",null,true,acl||cors||custom-key-headers||oauth2,null
singularity-user-profiles-api,user-profiles-common.prod.singularity.clarivate.com,/,"/sing/cc-user-profiles",null,true,jwt,null
cc-authorship-feedback-resolve,clarivate.com,/,"/api/authorship/feedback/extract/ids"||"/api/authorship/feedback/extract/single"||"/api/authorship/resolve",null,false,eureka-router||url-replace,ccauthorshipresolution.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
alert-manager-unsubscribe,clarivate.com,/,"/alert-manager-unsubscribe/alerts(/unsubscribe|/content)",null,false,eureka-router||url-replace,1palertmanager.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-deals-landing-component-us,clarivate.com,/,"/cortellis/landing/deals","api.us-west-2.prod1.prod.oneplatform.build",true,eureka-router,cortellisdealslandingcomponent.cortellis.produs.{CLOUD_ENVIRONMENT}
reviewer-connect,publons.com,/partner,"/reviewer-connect/api",null,false,acl||custom-key-headers||key-auth||rate-limiting||request-transformer,null
platform-profile-api,clarivate.com,/profile/admin,"/api/profile/admin",null,true,acl||eureka-router||key-auth||rate-limiting,1pprofiles.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
ipd,clarivate.com,/,"/api/ipd/v1",null,true,acl||eureka-router||oauth2,caasipd.cortellis.produs.prod
m_extract,clarivate.com,/s1/extract/,"/api/s1/extract",null,true,acl||eureka-router||key-auth,s1keyextraction.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
onep-container,clarivate.com,/,"/api/container/v2",null,true,eureka-router||jwt,1pcontainer.1p.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
journal-profile-restricted-api,your.new.api,/,"/api/jprof/restricted",null,false,eureka-router||jwt||url-replace,journalprofile.scholarone.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
session-service-api,clarivate.com,/,"/internal/api/email"||"/internal/api/session"||"/internal/api/sso",null,false,eureka-router||url-replace,1pauth.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
comm-master-api,comm-master-common.prod.singularity.clarivate.com,/,"/commercial-items"||"/commercial-items-sqs-api"||"/lscom-workerengine-sqs-listener",null,false,jwt,null
cortellis-report-component-us,clarivate.com,/,"/intelligence/site-report","api.us-west-2.prod1.prod.oneplatform.build",true,eureka-router,cortellisreportcomponent.cortellis.produs.{CLOUD_ENVIRONMENT}
platform-cache-service-api,clarivate.com,/,"/api/cache/igr",null,true,eureka-router,1pcache.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
mockbinoauth,mockbin.org,/,"/headers",null,false,acl||oauth2||rate-limiting,null
dra-excel-export-api,clarivate.com,/,"/api/dra/excel/export",null,false,auth-extensions||eureka-router||jwt||url-replace,draexcelexport.dra.produs.{CLOUD_ENVIRONMENT}
cmc-gui,clarivate.com,/,"/cmc",null,true,eureka-router,cmcgui.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
links-entitlement-api,clarivate.com,/,"/api/links/entitlements",null,false,eureka-router||ip-restriction||url-replace,1plinksentitlements.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
links-api,clarivate.com,/,"/api/links",null,false,eureka-router||ip-restriction||url-replace,woslinks.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
kongstatus,localhost,/,"/status",null,false,acl||key-auth||rate-limiting,null
wosld-frontend-api,clarivate.com,/,"/wosdashboard",null,true,eureka-router,wosldui.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
iip-edge-api,clarivate.com,/,"/api/iip/.*",null,false,eureka-router||session-validation||url-replace,iipedge.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wpp-data-service-api,clarivate.com,/,"/api/wpp/.*",null,false,cors||eureka-router||jwt||url-replace,publisherportaldataservice.scholarone.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-export-search-api-us,clarivate.com,/,"/api/cortellis/export","api.us-west-2.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisexportsearchapi.cortellis.produs.{CLOUD_ENVIRONMENT}
igr-type-ahead-api,clarivate.com,/,"/apiv2/igr/suggest",null,false,eureka-router||jwt||url-replace,igrtypeahead.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-drug-api,clarivate.com,/,"/cortellisdrugdbretrieveapi",null,false,eureka-router,cortellisdrugdbretrieveapi.cortellis.{CLOUD_ENVIRONMENT}
mra-restricted-api,clarivate.com,/,"/api/mra",null,true,eureka-router||jwt,mraservice.scholarone.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-dealsanalytics-app-us,clarivate.com,/,"/cortellis/dealsanalytics","api.us-west-2.prod1.prod.oneplatform.build",true,eureka-router,cortellisdealsanalyticsapp.cortellis.produs.prod
cortellis-export-search-api-eu,clarivate.com,/,"/api/cortellis/export","api.eu-west-1.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisexportsearchapi.cortellis.prodeu.{CLOUD_ENVIRONMENT}
pubmatch,clarivate.com,/,"/api/pubmatch",null,true,acl||eureka-router||key-auth,matchingservice.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
citation-resolution-service,clarivate.com,/,"/api/crs",null,true,acl||correlation-id||cors||eureka-router||key-auth,citationresolutionservice.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-download-api-us,clarivate.com,/,"/api/cortellis/download","api.us-west-2.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisdownloadapi.cortellis.produs.{CLOUD_ENVIRONMENT}
cmc-api,clarivate.com,/,"/api/cmc/services",null,false,eureka-router||jwt,cmcapi.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wos-alerting-ui,clarivate.com,/,"/alerts",null,true,eureka-router,wosalertingui.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
iip-frontend-api,clarivate.com,/,"/iip",null,true,eureka-router,iipfrontend.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cgi-export,clarivate.com,/,"/api/generics/export",null,false,eureka-router||jwt||url-replace,npexport.newport.produs.{CLOUD_ENVIRONMENT}
cortellis-deals-analytics-api-eu,clarivate.com,/,"/api/cortellis/cortellisdealsanalyticsapi","api.eu-west-1.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisdealsanalyticsapi.cortellis.prodeu.prod
compumark-content,cmapi.apps.compumark.com,/,"/compumark-content/api/v1(?!/user-config|/cache|/actuator)",null,true,acl||cors||custom-key-headers||key-auth||rate-limiting,null
bridgeclient-api,clarivate.com,/,"/api/bridge",null,false,eureka-router||jwt||url-replace,1pappbridge.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-configuration-api-us,clarivate.com,/,"/api/configEiddo"||"/api/configLandingPageTools"||"/api/configtestget"||"/api/cortellis/configuration"||"/api/featureConfig"||"/api/getUserDetails"||"/api/landingPageHeaderConfig"||"/api/riAdvancedSearch","api.us-west-2.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisconfigurationapi.cortellis.produs.{CLOUD_ENVIRONMENT}
caas-metabase-api,clarivate.com,/,"/api/metabase/v1",null,true,acl||eureka-router||oauth2||rate-limiting,caastaxonomy.cortellis.produs.prod
cortellis-retrieve-api-eu,clarivate.com,/,"/api/browseRetrieveData"||"/api/cortellis/retrieve"||"/api/retrievegrcdata"||"/api/retrieveirdata"||"/api/retrieversdata"||"/api/retrievetestget/.*","api.eu-west-1.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisretrieveapi.cortellis.prodeu.{CLOUD_ENVIRONMENT}
wos-nx-ui,clarivate.com,/,"/wos",null,true,eureka-router,wosnxui.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
igr-overview-api,clarivate.com,/,"/apiv2/igr/filter"||"/apiv2/igr/overview"||"/apiv2/igr/overview/config"||"/apiv2/igr/overview/ping"||"/apiv2/igr/search",null,false,eureka-router||jwt||url-replace,igroverview.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
task-distribution-api,task-mgmt-common.prod.singularity.clarivate.com,/,"/task-distribution/v1",null,false,jwt,null
censub-frontend-api,clarivate.com,/,"/censub"||"/mjl-beta",null,true,eureka-router,censubui.scholarone.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cddi-analytics-api,clarivate.com,/,"/apiv2/cddi/analytics",null,true,eureka-router||jwt,cddianalytics.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wat-frontend,clarivate.com,/,"/author",null,true,eureka-router,watfrontend.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
ping-portal,developer.clarivate.com,/ping,"/ping-portal",null,true,correlation-id||rate-limiting,null
wosrl-publons-proxy,publons.com,/,"/wosrl/api/lookup"||"/wosrl/api/search",null,true,url-replace,null
keyword-similarity-service,clarivate.com,/,"/api/kss",null,true,acl||correlation-id||cors||eureka-router||key-auth,keywordsimilarityservice.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
m_reviewer,clarivate.com,/reviewer/,"/api/m_reviewer",null,true,acl||eureka-router||key-auth,1previewerlocator.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
reviewer,clarivate.com,/reviewer/,"/api/reviewer",null,true,acl||custom-key-headers||eureka-router||key-auth,1previewerlocator.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wos-nx-publisher-typeahead,clarivate.com,/,"/api/wosnx/suggestpub",null,true,eureka-router,wosnxpublishertypeahead.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
mockbin-auth-extensions,mockbin.org,/request,"/mockbin-auth-extensions",null,true,auth-extensions||jwt,null
wos-jcr-jif-frontend-api,clarivate.com,/,"/jif",null,false,eureka-router,wosjcrjiffrontend.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
incites,clarivate.com,/incites,"/api/incites",null,true,acl||cors||custom-key-headers||eureka-router||key-auth||rate-limiting||request-transformer,incitesrestadapter.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
rics-cda,rics-api-int.prod.cc.clarivate.com,/,"/internal/cda","rics-api.prod.cc.clarivate.com",false,acl||key-auth||rate-limiting,null
wos-nx-alerting,clarivate.com,/alerting,"/api/wosnx/alerting",null,false,eureka-router||url-replace,wosnxalerting.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
singularity-search-common-prod-api,sing-search-common.prod.singularity.clarivate.com,/,"/sing/search-common",null,true,jwt,null
cmc-change-history,clarivate.com,/,"/api/cmcchangehistory",null,false,eureka-router,cmcchangehistory.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
links-gateway-api,clarivate.com,/,"/api/gateway",null,false,eureka-router||url-replace,1plinksgateway.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
central-submission-restricted-api,clarivate.com,/,"/api/censub/restricted",null,false,eureka-router||jwt||url-replace,centralsubmission.scholarone.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-report-app-eu,clarivate.com,/,"/cortellis/report/.*","api.eu-west-1.prod1.prod.oneplatform.build",false,eureka-router||url-replace,cortellisreportapp.cortellis.prodeu.{CLOUD_ENVIRONMENT}
singularity-vendor-service-api,user-profiles-common.prod.singularity.clarivate.com,/,"/cc-user-profiles-vendor",null,false,jwt,null
cortellis-report-app-us,clarivate.com,/,"/cortellis/report/.*","api.us-west-2.prod1.prod.oneplatform.build",false,eureka-router||url-replace,cortellisreportapp.cortellis.produs.{CLOUD_ENVIRONMENT}
cortellis-user-details-api-eu,clarivate.com,/,"/api/cortellis/userdetails","api.eu-west-1.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisuserdetailsapi.cortellis.prodeu.{CLOUD_ENVIRONMENT}
patent-predictive,clarivate.com,/,"/api/patent-predictive",null,true,acl||cors||eureka-router||key-auth,patent-predictive.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wos-nx-category-typeahead,clarivate.com,/,"/api/wosnx/suggestcgr",null,true,eureka-router,wosnxcategorytypeahead.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
recommend-publications,clarivate.com,/author/recommend,"/api/author/recommend",null,true,acl||eureka-router||key-auth,wosauthorrecommend.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wosld-client-api,clarivate.com,/,"/api/wosdashboard",null,false,eureka-router||jwt||url-replace,wosldservice.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
rics-triage-ui,triage-ui-int.prod.cc.clarivate.com,/,"/","triage-ui.prod.cc.clarivate.com",false,cors,null
s-suggest,clarivate.com,/s1/suggest/,"/api/s1/suggest",null,true,acl||eureka-router||key-auth,s1ringgoldtypeahead.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-download-api-eu,clarivate.com,/,"/api/cortellis/download","api.eu-west-1.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisdownloadapi.cortellis.prodeu.{CLOUD_ENVIRONMENT}
cortellis-landing-component-us,clarivate.com,/,"/intelligence/landing","api.us-west-2.prod1.prod.oneplatform.build",true,eureka-router,cortellislandingcomponent.cortellis.produs.{CLOUD_ENVIRONMENT}
cddi-entity,clarivate.com,/,"/apiv2/cddi/entity",null,false,eureka-router||jwt||url-replace,cddientity.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
metabase-lite,clarivate.com,/,"/api/metabase-lite/v1",null,true,acl||eureka-router||oauth2,caastaxonomy.cortellis.produs.prod
sagemaker,clarivate.com,/sagemaker/,"/api/sagemaker",null,true,acl||eureka-router||key-auth,sagemakerservice.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
journal-profile-internal-api,clarivate.com,/,"/internal/api/jprof/public",null,false,eureka-router||url-replace,journalprofile.scholarone.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cddi-table-api,clarivate.com,/,"/apiv2/cddi/counts"||"/apiv2/cddi/ids"||"/apiv2/cddi/table",null,false,eureka-router||jwt||url-replace,cdditable.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wos-jcr-jif-session-api,clarivate.com,/,"/api/jif",null,false,eureka-router||session-validation||url-replace,wosjcrjif.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
models,clarivate.com,/,"/api/models",null,true,acl||eureka-router||key-auth,1pmodels.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-ontology-api-eu,clarivate.com,/,"/api/browseOntologyData"||"/api/cortellis/ontology"||"/api/testgetontology","api.eu-west-1.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisontologyapi.cortellis.prodeu.{CLOUD_ENVIRONMENT}
cortellis-dealsanalytics-app-eu,clarivate.com,/,"/cortellis/dealsanalytics","api.eu-west-1.prod1.prod.oneplatform.build",true,eureka-router,cortellisdealsanalyticsapp.cortellis.prodeu.prod
rrc-feedback,clarivate.com,/researcher,"/api/researcher",null,true,acl||eureka-router||key-auth,wosauthorxform.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wpp-ui-api,clarivate.com,/,"/wpp",null,true,eureka-router,wppui.scholarone.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
author,clarivate.com,/author,"/api/author",null,true,acl||eureka-router||key-auth,wosauthorrecommend.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cgi-alerts,clarivate.com,/,"/api/generics/alerts"||"/api/generics/internal/api",null,false,eureka-router||jwt||url-replace,npalerts.newport.produs.{CLOUD_ENVIRONMENT}
wos-author-xform-feedback,clarivate.com,/,"/api/feedback",null,false,eureka-router||url-replace,wosauthorxform.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
singularity-classification,clarivate.com,/api/commercial-item,"/api/commercial-item",null,true,acl||eureka-router||key-auth,singularityclassification.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
singularity-stats-powerbi-postgres-prod,stats-powerbi-postgres-lambda.prod.singularity.clarivate.com,/,"/sing/stats-powerbi-postgres",null,true,jwt,null
steam-email-api,clarivate.com,/email/steam/,"/api/email/steam",null,true,acl||eureka-router||key-auth,1pauth.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cddi-marketing-gui-api,clarivate.com,/,"/marketing/drugdiscovery"||"/ui/drugdiscovery/marketing",null,false,eureka-router,cddimarketingui.integrity.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
woslite,clarivate.com,/woslite/,"/api/woslite",null,true,acl||cors||custom-key-headers||eureka-router||key-auth||rate-limiting,wosrestadapter.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-deals-analytics-api-us,clarivate.com,/,"/api/cortellis/cortellisdealsanalyticsapi","api.us-west-2.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisdealsanalyticsapi.cortellis.produs.prod
linksent-frontend-api,clarivate.com,/,"/linksent",null,true,eureka-router||ip-restriction,1plinksentitlementsui.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
entitlements-internal,clarivate.com,/entitlements/,"/internal/entitlements",null,true,eureka-router,1pentitlements.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wos-author-recommend-rrc,clarivate.com,/,"/api/wosnx/rrc/author/.*",null,false,eureka-router||url-replace||wos-session-auth,wosauthorrecommend.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
igr-alerts-api,clarivate.com,/,"/apiv2/igr/alerts",null,true,eureka-router||jwt,igralerts.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
iam-get-session,clarivate.com,/,"/api/session/user",null,false,eureka-router||request-transformer||url-replace,1pauth.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
converisreadapi,your.new.api,/,"/converisreadapi",null,true,null,null
cmc-formatting-lambda,127.0.0.1,/,"/internal/api/cmc/formatting",null,false,aws-lambda||url-replace,null
wos-nx-author-typeahead,clarivate.com,/,"/api/wosnx/suggestauthor",null,true,eureka-router,wosnxauthortypeahead.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-report-section-app-eu,clarivate.com,/,"/intelligence/cortellis-report-section","api.eu-west-1.prod1.prod.oneplatform.build",true,eureka-router,cortellissvgextractorcomponent.cortellis.{CLOUD_ENVIRONMENT}
dra-td-exploration,clarivate.com,/,"/api/dra-td/exploration",null,false,auth-extensions||eureka-router||jwt||url-replace,dratdexploration.dra.produs.{CLOUD_ENVIRONMENT}
cortellis-search-api-eu,clarivate.com,/,"/api/cortellis/search/.*"||"/api/fetchLandingPageConfig"||"/api/headerConfig"||"/api/landing"||"/api/landingPageChart"||"/api/landingPageSearchFilters"||"/api/searchdata"||"/api/testget/.*","api.eu-west-1.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellissearchapi.cortellis.prodeu.{CLOUD_ENVIRONMENT}
cortellis-frontend-eu,clarivate.com,/,"/intelligence/suite","api.eu-west-1.prod1.prod.oneplatform.build",true,eureka-router,cortellisfrontend.cortellis.prodeu.{CLOUD_ENVIRONMENT}
cortellis-landing-app-us,clarivate.com,/,"/cortellis/landing/ri","api.us-west-2.prod1.prod.oneplatform.build",true,eureka-router,cortellislandingapp.cortellis.produs.{CLOUD_ENVIRONMENT}
cortellis-landing-component-eu,clarivate.com,/,"/intelligence/landing","api.eu-west-1.prod1.prod.oneplatform.build",true,eureka-router,cortellislandingcomponent.cortellis.prodeu.{CLOUD_ENVIRONMENT}
wos-nx-core,clarivate.com,/core,"/api/wosnx/core",null,true,eureka-router,wosnxcore.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
